instance,source_file,n,density,replicate,scale,bound_time_seconds,upper_variables,lower_variables,upper_constraints,lower_constraints,mps_file,aux_file
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_6,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_6.txt,50,75,6,100,0.009475,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_6.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_6.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_7,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_7.txt,50,75,7,100,0.010790,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_7.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_7.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_8,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_8.txt,50,75,8,100,0.008724,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_8.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_8.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_9,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_9.txt,50,75,9,100,0.008863,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_9.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_9.aux
N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_10,instances/originalKP/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_10.txt,50,75,10,100,0.009174,1325,100,3726,151,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_10.mps,N50_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_50_75_10.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_1,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_1.txt,100,50,1,100,0.010323,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_1.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_1.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_2,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_2.txt,100,50,2,100,0.006388,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_2.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_2.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_3,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_3.txt,100,50,3,100,0.040042,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_3.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_3.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_4,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_4.txt,100,50,4,100,0.005967,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_4.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_4.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_5,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_5.txt,100,50,5,100,0.032951,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_5.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_5.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_6,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_6.txt,100,50,6,100,0.026384,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_6.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_6.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_7,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_7.txt,100,50,7,100,0.031145,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_7.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_7.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_8,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_8.txt,100,50,8,100,0.028560,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_8.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_8.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_9,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_9.txt,100,50,9,100,0.010633,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_9.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_9.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_10,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_10.txt,100,50,10,100,0.006292,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_10.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_50_10.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_1,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_1.txt,100,75,1,100,0.005673,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_1.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_1.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_2,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_2.txt,100,75,2,100,0.040570,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_2.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_2.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_3,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_3.txt,100,75,3,100,0.036696,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_3.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_3.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_4,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_4.txt,100,75,4,100,0.037294,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_4.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_4.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_5,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_5.txt,100,75,5,100,0.029774,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_5.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_5.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_6,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_6.txt,100,75,6,100,0.027397,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_6.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_6.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_7,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_7.txt,100,75,7,100,0.041651,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_7.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_7.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_8,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_8.txt,100,75,8,100,0.029299,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_8.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_8.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_9,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_9.txt,100,75,9,100,0.043410,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_9.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_9.aux
N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_10,instances/originalKP/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005/N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_10.txt,100,75,10,100,0.025247,5150,200,14951,301,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_10.mps,N100_rc_0.7_rGamma_1_dc_0.035_dGamma_0.0005_jeu_100_75_10.aux
